2025-02-06 12:03:33.215 | INFO     | utils.utils_logger:<module>:38 - Logging to file: logs\project_log.log
2025-02-06 12:03:33.221 | INFO     | __main__:<module>:68 - Project root: C:\Users\khalo\DSMM\buzzline-03-Mhamed
2025-02-06 12:03:33.221 | INFO     | __main__:<module>:72 - Data folder: C:\Users\khalo\DSMM\buzzline-03-Mhamed\data
2025-02-06 12:03:33.221 | INFO     | __main__:<module>:76 - Data file: C:\Users\khalo\DSMM\buzzline-03-Mhamed\data\buzz.json
2025-02-06 12:03:33.221 | INFO     | __main__:main:136 - START producer.
2025-02-06 12:03:33.221 | INFO     | utils.utils_producer:get_zookeeper_address:57 - Zookeeper address: localhost:2181
2025-02-06 12:03:33.259 | INFO     | utils.utils_producer:check_zookeeper_service_is_ready:79 - Zookeeper is ready at localhost:2181.
2025-02-06 12:03:33.259 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-02-06 12:03:33.603 | INFO     | utils.utils_producer:check_kafka_service_is_ready:98 - Kafka is ready. Brokers: {'throttle_time_ms': 0, 'brokers': [{'node_id': 1001, 'host': 'localhost', 'port': 9092, 'rack': None}], 'cluster_id': 'TTRAjv7-S_aUIZtb2R-WgQ', 'controller_id': 1001}
2025-02-06 12:03:33.603 | INFO     | __main__:get_kafka_topic:50 - Kafka topic: buzzline_json
2025-02-06 12:03:33.603 | INFO     | __main__:get_message_interval:57 - Message interval: 1 seconds
2025-02-06 12:03:33.605 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-02-06 12:03:33.606 | INFO     | utils.utils_producer:create_kafka_producer:146 - Connecting to Kafka broker at localhost:9092...
2025-02-06 12:03:33.711 | INFO     | utils.utils_producer:create_kafka_producer:151 - Kafka producer successfully created.
2025-02-06 12:03:33.711 | INFO     | utils.utils_producer:get_kafka_broker_address:50 - Kafka broker address: localhost:9092
2025-02-06 12:03:34.033 | INFO     | utils.utils_producer:create_kafka_topic:176 - Creating 'buzzline_json'.
2025-02-06 12:03:35.356 | INFO     | utils.utils_producer:create_kafka_topic:181 - Topic 'buzzline_json' created successfully.
2025-02-06 12:03:35.356 | INFO     | __main__:main:159 - Kafka topic 'buzzline_json' is ready.
2025-02-06 12:03:35.358 | INFO     | __main__:main:165 - Starting message production to topic 'buzzline_json'...
2025-02-06 12:03:35.358 | INFO     | __main__:generate_messages:95 - Opening data file in read mode: C:\Users\khalo\DSMM\buzzline-03-Mhamed\data\buzz.json
2025-02-06 12:03:35.358 | INFO     | __main__:generate_messages:97 - Reading data from file: C:\Users\khalo\DSMM\buzzline-03-Mhamed\data\buzz.json
2025-02-06 12:03:35.380 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Eve'}
2025-02-06 12:03:36.382 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Alice'}
2025-02-06 12:03:37.391 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Have a great day!', 'author': 'Charlie'}
2025-02-06 12:03:38.396 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Alice'}
2025-02-06 12:03:39.400 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Distributed systems are fascinating.', 'author': 'Diana'}
2025-02-06 12:03:40.404 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Buzz messages for everyone.', 'author': 'Alice'}
2025-02-06 12:03:41.410 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Hello, Kafka world!', 'author': 'Diana'}
2025-02-06 12:03:42.422 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'This is a buzz message.', 'author': 'Eve'}
2025-02-06 12:03:43.424 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Eve'}
2025-02-06 12:03:44.431 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Alice'}
2025-02-06 12:03:45.438 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Data engineering is my passion.', 'author': 'Diana'}
2025-02-06 12:03:46.445 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Diana'}
2025-02-06 12:03:47.457 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'Kafka is awesome.', 'author': 'Charlie'}
2025-02-06 12:03:48.462 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'JSON makes life easier.', 'author': 'Bob'}
2025-02-06 12:03:49.468 | INFO     | __main__:main:170 - Sent message to topic 'buzzline_json': {'message': 'I love Python!', 'author': 'Bob'}
